ratio,layer,recall,hit,total
0.8,10,0.691489,130,188
0.8,11,0.723404,136,188
0.8,12,0.648936,122,188
0.8,13,0.744681,140,188
0.8,14,0.803191,151,188
0.8,15,0.824468,155,188
0.8,16,0.803191,151,188
0.8,17,0.824468,155,188
0.8,18,0.867021,163,188
0.8,19,0.994681,187,188
0.9,0,0.87234,164,188
0.9,1,0.930851,175,188
0.9,2,0.968085,182,188
0.9,3,0.909574,171,188
0.9,4,0.829787,156,188
0.9,5,0.867021,163,188
0.9,6,0.867021,163,188
0.9,7,0.87234,164,188
0.9,8,0.861702,162,188
0.9,9,0.861702,162,188
0.9,10,0.851064,160,188
0.9,11,0.87234,164,188
0.9,12,0.819149,154,188
0.9,13,0.861702,162,188
0.9,14,0.898936,169,188
0.9,15,0.87234,164,188
0.9,16,0.904255,170,188
0.9,17,0.898936,169,188
0.9,18,0.904255,170,188
0.9,19,1.0,188,188
1.0,0,1.0,188,188
1.0,1,0.994681,187,188
1.0,2,0.994681,187,188
1.0,3,0.994681,187,188
1.0,4,0.994681,187,188
1.0,5,0.994681,187,188
1.0,6,0.994681,187,188
1.0,7,0.994681,187,188
1.0,8,0.994681,187,188
1.0,9,0.994681,187,188
1.0,10,0.984043,185,188
1.0,11,0.989362,186,188
1.0,12,0.962766,181,188
1.0,13,0.973404,183,188
1.0,14,0.952128,179,188
1.0,15,0.93617,176,188
1.0,16,0.962766,181,188
1.0,17,0.957447,180,188
1.0,18,0.952128,179,188
1.0,19,1.0,188,188
